Index," Height(Inches)"""," ""Weight(Pounds)""",ingestion_timestamp,source_file
1,65.78,112.99,2026-04-27 13:06:06.313878,nyc_taxi_apo
2,71.52,136.49,2026-04-27 13:06:06.313878,nyc_taxi_apo
3,69.4,153.03,2026-04-27 13:06:06.313878,nyc_taxi_apo
4,68.22,142.34,2026-04-27 13:06:06.313878,nyc_taxi_apo
5,67.79,144.3,2026-04-27 13:06:06.313878,nyc_taxi_apo
6,68.7,123.3,2026-04-27 13:06:06.313878,nyc_taxi_apo
7,69.8,141.49,2026-04-27 13:06:06.313878,nyc_taxi_apo
8,70.01,136.46,2026-04-27 13:06:06.313878,nyc_taxi_apo
9,67.9,112.37,2026-04-27 13:06:06.313878,nyc_taxi_apo
10,66.78,120.67,2026-04-27 13:06:06.313878,nyc_taxi_apo
11,66.49,127.45,2026-04-27 13:06:06.313878,nyc_taxi_apo
12,67.62,114.14,2026-04-27 13:06:06.313878,nyc_taxi_apo
13,68.3,125.61,2026-04-27 13:06:06.313878,nyc_taxi_apo
14,67.12,122.46,2026-04-27 13:06:06.313878,nyc_taxi_apo
15,68.28,116.09,2026-04-27 13:06:06.313878,nyc_taxi_apo
16,71.09,140.0,2026-04-27 13:06:06.313878,nyc_taxi_apo
17,66.46,129.5,2026-04-27 13:06:06.313878,nyc_taxi_apo
18,68.65,142.97,2026-04-27 13:06:06.313878,nyc_taxi_apo
19,71.23,137.9,2026-04-27 13:06:06.313878,nyc_taxi_apo
20,67.13,124.04,2026-04-27 13:06:06.313878,nyc_taxi_apo
21,67.83,141.28,2026-04-27 13:06:06.313878,nyc_taxi_apo
22,68.88,143.54,2026-04-27 13:06:06.313878,nyc_taxi_apo
23,63.48,97.9,2026-04-27 13:06:06.313878,nyc_taxi_apo
24,68.42,129.5,2026-04-27 13:06:06.313878,nyc_taxi_apo
25,67.63,141.85,2026-04-27 13:06:06.313878,nyc_taxi_apo
26,67.21,129.72,2026-04-27 13:06:06.313878,nyc_taxi_apo
27,70.84,142.42,2026-04-27 13:06:06.313878,nyc_taxi_apo
28,67.49,131.55,2026-04-27 13:06:06.313878,nyc_taxi_apo
29,66.53,108.33,2026-04-27 13:06:06.313878,nyc_taxi_apo
